"RowNumber","ProductKey","ProductAlternateKey","ProductSubcategoryKey","WeightUnitMeasureCode","SizeUnitMeasureCode","EnglishProductName","SpanishProductName","FrenchProductName","StandardCost","FinishedGoodsFlag","Color","SafetyStockLevel","ReorderPoint","ListPrice","Size","SizeRange","Weight","DaysToManufacture","ProductLine","DealerPrice","Class","Style","ModelName","EnglishDescription","FrenchDescription","ChineseDescription","ArabicDescription","HebrewDescription","ThaiDescription","StartDate","EndDate","Status","Subcategory"
INTEGER,INTEGER,VARCHAR,INTEGER,VARCHAR,VARCHAR,VARCHAR,VARCHAR,VARCHAR,DECIMAL(19.4),BOOLEAN,VARCHAR,INTEGER,INTEGER,DECIMAL(19.4),VARCHAR,VARCHAR,DOUBLE,INTEGER,VARCHAR,DECIMAL(19.4),VARCHAR,VARCHAR,VARCHAR,VARCHAR,VARCHAR,VARCHAR,VARCHAR,VARCHAR,VARCHAR,DATE,DATE,VARCHAR,VARCHAR
1,1,"BK-M18S-40",1,"LB","CM","Mountain-100 Silver, 40","Montaña-100 Plata, 40","VTT-100 Argent, 40",500.0000,1,"Silver",200,150,1500.0000,"40","38-42",22.5,3,"M",1200.0000,"H","M","Mountain-100","High-performance mountain bike for professional riders.","VTT haute performance pour cyclistes professionnels.","专业骑手的高性能山地自行车。","دراجة جبلية عالية الأداء للراكر المحترفين.","אופני הרים ביצועים גבוהים לרוכבים מקצועיים.","จักรยานภูเขาสำหรับนักปั่นระดับมืออาชีพ","2021-01-01",NULL,"Current","Mountain Bikes"
2,2,"BK-M18S-42",1,"LB","CM","Mountain-100 Silver, 42","Montaña-100 Plata, 42","VTT-100 Argent, 42",520.0000,1,"Silver",180,140,1550.0000,"42","38-42",23.1,3,"M",1240.0000,"H","M","Mountain-100","High-performance mountain bike for professional riders.","VTT haute performance pour cyclistes professionnels.","专业骑手的高性能山地自行车。","دراجة جبلية عالية الأداء للراكر المحترفين.","אופני הרים ביצועים גבוהים לרוכבים מקצועיים.","จักรยานภูเขาสำหรับนักปั่นระดับมืออาชีพ","2021-01-01",NULL,"Current","Mountain Bikes"
3,3,"BK-R68R-44",2,"LB","CM","Road-450 Red, 44","Carretera-450 Rojo, 44","Route-450 Rouge, 44",450.0000,1,"Red",150,100,1100.0000,"44","44-48",20.3,2,"R",880.0000,"M","U","Road-450","Lightweight road bike with aluminum frame.","Vélo de route léger avec cadre en aluminium.","轻量级公路自行车，铝制车架。","دراجة طريق خفيفة الوزن بهيكل من الألومنيوم.","אופני כביש קלי משקל עם מסגרת אלומיניום.","จักรยานถนนน้ำหนักเบาพร้อมโครงอลูมิเนียม","2021-02-15",NULL,"Current","Road Bikes"
4,4,"BK-T44Y-50",3,"LB","CM","Touring-1000 Yellow, 50","Turismo-1000 Amarillo, 50","Touring-1000 Jaune, 50",380.0000,1,"Yellow",120,80,950.0000,"50","48-52",25.7,4,"T",760.0000,"L","W","Touring-1000","Comfortable touring bike for long distances.","Vélo de tourisme confortable pour longues distances.","适合长途旅行的舒适旅行自行车。","دراجة سياحية مريحة للمسافات الطويلة.","אופני טיול נוחים למרחקים ארוכים.","จักรยานท่องเที่ยวที่สะดวกสบายสำหรับการเดินทางไกล","2021-03-10",NULL,"Current","Touring Bikes"
5,5,"HB-R981",4,"G","CM","HL Road Handlebars","Manillar HL Carretera","Guidon HL Route",18.5000,1,"Black",500,300,65.0000,"42",,0.32,1,"R",52.0000,"L","U","HL Road","Lightweight aluminum road handlebars.","Guidons de route en aluminium léger.","轻量级铝制公路车把。","مقود طريق من الألومنيوم خفيف الوزن.","כידוני כביש מאלומיניום קל משקל.","แฮนด์จับจักรยานถนนอลูมิเนียมน้ำหนักเบา","2021-01-01",NULL,"Current","Handlebars"
6,6,"BB-9108",5,"G","CM","Road Bottom Bracket","Pedalier Carretera","Pédalier Route",52.4000,1,"Silver",300,200,120.0000,"68mm",,0.45,2,"R",96.0000,"M","U","Road","High-quality bottom bracket for road bikes.","Pédalier de haute qualité pour vélos de route.","公路自行车高品质中轴。","مجموعة دبرياج عالية الجودة لدراجات الطريق.","סרן תחתון איכותי לאופני כביש.","บันทึกด้านล่างคุณภาพสูงสำหรับจักรยานถนน","2021-01-01",NULL,"Current","Bottom Brackets"
7,7,"CA-1098",18,"G","CM","Men's Bib-Shorts, L","Culottes Hombre, L","Cuissards Homme, L",25.0000,1,"Black",600,400,45.0000,"L","L-XL",0.25,1,"M",36.0000,"L","M","Men's","Breathable bib-shorts for maximum comfort.","Cuissards respirants pour un confort maximal.","透气骑行裤，提供最大舒适度。","سراويل داخلية قابلة للتنفس لأقصى درجات الراحة.","מכנסיים נשימים לנוחות מרבית.","กางเกนขาสั้นระบายอากาศเพื่อความสบายสูงสุด","2021-05-20",NULL,"Current","Bib-Shorts"
8,8,"CA-6738",23,"G","CM","Women's Mountain Shorts, S","Shorts Montaña Mujer, S","Shorts VTT Femme, S",22.0000,1,"Blue",550,350,42.0000,"S","S-M",0.22,1,"W",33.6000,"L","W","Women's","Durable shorts for mountain biking.","Shorts durables pour VTT.","耐用的山地自行车短裤。","شورتات متينة لركوب الدراجات الجبلية.","מכנסיים קצרים עמידים לרכיבת הרים.","กางเกนขาสั้นทนทานสำหรับขี่จักรยานภูเขา","2021-05-20",NULL,"Current","Shorts"
9,9,"LI-1234",31,"G","CM","Sport-100 Helmet, Red","Casco Sport-100, Rojo","Casque Sport-100, Rouge",15.0000,1,"Red",800,500,35.0000,"M",,0.65,1,"M",28.0000,"L","U","Sport-100","Lightweight and aerodynamic helmet.","Casque léger et aérodynamique.","轻量空气动力学头盔。","خوذة خفيفة الوزن وديناميكية هوائية.","קסדה קלת משקל ואווירודינמית.","หมวกกันน็อกน้ำหนักเบาและอากาศพลศาสตร์","2021-06-15",NULL,"Current","Helmets"
10,10,"PW-7890",36,"G","CM","Mini Pump","Bomba Mini","Pompe Mini",8.0000,1,"Silver",1000,700,20.0000,"15cm",,0.18,1,"U",16.0000,"L","U","Mini","Compact bicycle pump for emergencies.","Pompe à vélo compacte pour les urgences.","紧凑型自行车打气筒，用于紧急情况。","مضخة دراجات مضغوطة للطوارئ.","משאבת אופניים קומפקטית לשעת חירום.","ปั๊มจักรยานขนาดกะทัดรัดสำหรับกรณีฉุกเฉิน","2021-06-15",NULL,"Current","Pumps"
11,11,"BK-M47S-48",1,"LB","CM","Mountain-200 Silver, 48","Montaña-200 Plata, 48","VTT-200 Argent, 48",350.0000,1,"Silver",220,160,850.0000,"48","46-50",24.8,3,"M",680.0000,"M","M","Mountain-200","Value-priced mountain bike with great features.","VTT à prix abordable avec de grandes fonctionnalités.","性价比高的山地自行车，功能强大。","دراجة جبلية بسعر مناسب مع ميزات رائعة.","אופני הרים במחיר סביר עם תכונות נהדרות.","จักรยานภูเขามูลค่าสูงด้วยคุณสมบัติที่ยอดเยี่ยม","2021-04-01","2022-12-31","Discontinued","Mountain Bikes"
